iso3,year,AI_PI
AUS,2023,0.72710032761097
AUT,2023,0.72456575930119
BEL,2023,0.67247784137726
CAN,2023,0.71315135061741
HRV,2023,0.58169589936733
CYP,2023,0.63239379227161
CZE,2023,0.6462222635746
DNK,2023,0.7785222530365
EST,2023,0.76438219845295
FIN,2023,0.75801736116409
FRA,2023,0.69750864803791
DEU,2023,0.75332881510258
GRC,2023,0.58197875320911
HKG,2023,0.70056740939617
ISL,2023,0.70010085403919
IRL,2023,0.69312816858292
ISR,2023,0.72547018527985
ITA,2023,0.62072303891182
JPN,2023,0.73315840959549
KOR,2023,0.72657443583012
LVA,2023,0.63239780068398
LTU,2023,0.664883852005
LUX,2023,0.73527117073536
MLT,2023,0.65920133888721
NLD,2023,0.76649311184883
NZL,2023,0.75367978215218
NOR,2023,0.70576101541519
PRT,2023,0.64601981639862
SGP,2023,0.80056671798229
SVK,2023,0.59162250161171
SVN,2023,0.63386213779449
ESP,2023,0.64833119511604
SWE,2023,0.74779990315437
CHE,2023,0.75701242685318
GBR,2023,0.73094530403614
USA,2023,0.77126908302307
ALB,2023,0.52679254114628
DZA,2023,0.3704386651516
AGO,2023,0.25965924188495
ARG,2023,0.47380943596363
ARM,2023,0.49288668483496
AZE,2023,0.4709397777915
BHS,2023,0.45751246064901
BHR,2023,0.51525521278381
BRB,2023,0.50465597957373
BLR,2023,0.47078057378531
BLZ,2023,0.42262690514326
BOL,2023,0.37660475820303
BIH,2023,0.42791310697794
BWA,2023,0.41284810006618
BRA,2023,0.50134041905403
BRN,2023,0.49525272101164
BGR,2023,0.57729011774063
CPV,2023,0.43258749693632
CHL,2023,0.58575116842985
CHN,2023,0.63545440137386
COL,2023,0.48949392139912
CRI,2023,0.54015178233385
DOM,2023,0.46881140768528
ECU,2023,0.4420759677887
EGY,2023,0.39405445754528
SLV,2023,0.38972074538469
SWZ,2023,0.30621055886149
FJI,2023,0.44881195574999
GAB,2023,0.32252930104733
GEO,2023,0.52989356964827
GTM,2023,0.39010570943356
GUY,2023,0.42417997121811
HUN,2023,0.5629620552063
IND,2023,0.49250310659409
IDN,2023,0.51630328595638
IRN,2023,0.37832589447498
IRQ,2023,0.26983634382486
JAM,2023,0.4337519928813
JOR,2023,0.48283123970032
KAZ,2023,0.55238711833954
KWT,2023,0.46133247762918
LBN,2023,0.41784849762917
LBY,2023,0.24497598037124
MYS,2023,0.63202629983425
MUS,2023,0.52511297166348
MEX,2023,0.53204418718815
MNG,2023,0.48437660932541
MNE,2023,0.50369333475828
MAR,2023,0.42911085486412
NAM,2023,0.41961172968149
OMN,2023,0.53277696669102
PAK,2023,0.36863802373409
PAN,2023,0.50128082185984
PRY,2023,0.40975987911224
PER,2023,0.49113307148218
PHL,2023,0.49848566204309
POL,2023,0.59688468277454
QAT,2023,0.53459213674068
MKD,2023,0.48198603093624
ROU,2023,0.5836483091116
RUS,2023,0.55922330915928
LCA,2023,0.37418670207262
VCT,2023,0.34185180813074
SAU,2023,0.57690300047398
SRB,2023,0.53747471421957
SYC,2023,0.53065264970064
ZAF,2023,0.49676514416933
LKA,2023,0.4360671415925
SUR,2023,0.4179078489542
SYR,2023,0.29814901389182
THA,2023,0.53571709990501
TTO,2023,0.4356224834919
TUN,2023,0.46540968865156
TUR,2023,0.5401873588562
UKR,2023,0.51248306035995
ARE,2023,0.62818463146687
URY,2023,0.54864098876715
VEN,2023,0.27458252198994
BGD,2023,0.38406448811293
BEN,2023,0.36316419392824
BTN,2023,0.44191746413708
BFA,2023,0.31181989982724
BDI,2023,0.29458386823535
KHM,2023,0.36996492743492
CMR,2023,0.34128637611866
CAF,2023,0.18443748541176
TCD,2023,0.23360607214272
COM,2023,0.25417444482446
COG,2023,0.276611905545
COD,2023,0.24747366458178
CIV,2023,0.36550394445658
DJI,2023,0.31889721751213
ETH,2023,0.25359724834561
GMB,2023,0.35997624322772
GHA,2023,0.42519968003035
GIN,2023,0.32352608814836
GNB,2023,0.26489874348044
HTI,2023,0.2682539857924
HND,2023,0.34181183204055
KEN,2023,0.4451921209693
KGZ,2023,0.42584180086851
LAO,2023,0.33049231767654
LSO,2023,0.35535870492458
LBR,2023,0.3702549636364
MDG,2023,0.30544988438487
MWI,2023,0.34004744514823
MLI,2023,0.29614645242691
MRT,2023,0.23290100693703
MDA,2023,0.4806292578578
MOZ,2023,0.25736496224999
MMR,2023,0.32747298851609
NPL,2023,0.35097929090261
NIC,2023,0.33139400184155
NER,2023,0.32582614198327
NGA,2023,0.33628468960524
PNG,2023,0.29010296240449
RWA,2023,0.43740021437407
SEN,2023,0.39596802741289
SLE,2023,0.29781290516257
SDN,2023,0.23290671221912
TJK,2023,0.36644598096609
TZA,2023,0.3524204865098
TLS,2023,0.42773475497961
TGO,2023,0.31568638980389
UGA,2023,0.35393466055393
VNM,2023,0.4818687364459
YEM,2023,0.2533275578171
ZMB,2023,0.37071997672319
ZWE,2023,0.30479108914733
ADVEC,2023,0.68297419496454
EME,2023,0.46492500862555
LIC,2023,0.3224417756532
APQ,2023,0.52
EUQ,2023,0.63
NMQ,2023,0.74
WE,2023,0.43
MECA,2023,0.4
SSQ,2023,0.34
EURO,2023,0.67
MAE,2023,0.72
EU,2023,0.66
AS5,2023,0.6
