iso3,year,RE
AUS,2023,0.21177437901497
AUT,2023,0.19794841110706
BEL,2023,0.16134479641914
CAN,2023,0.20557691156864
HRV,2023,0.14349210262299
CYP,2023,0.16494153439999
CZE,2023,0.16250093281269
DNK,2023,0.21825522184372
EST,2023,0.21858482062817
FIN,2023,0.23044012486935
FRA,2023,0.18127408623695
DEU,2023,0.20427194237709
GRC,2023,0.1390358954668
HKG,2023,0.16528856754303
ISL,2023,0.20681749284267
IRL,2023,0.18905451893806
ISR,2023,0.18879850208759
ITA,2023,0.15497273206711
JPN,2023,0.20340214669704
KOR,2023,0.1986278295517
LVA,2023,0.16185165941715
LTU,2023,0.17141288518906
LUX,2023,0.22215484082699
MAC,2023,0.14425145089626
MLT,2023,0.18614806234837
NLD,2023,0.22438891232014
NZL,2023,0.21973490715027
NOR,2023,0.20731395483017
PRT,2023,0.17565663158894
PRI,2023,0.14095123112202
SGP,2023,0.21621714532375
SVK,2023,0.14349250495434
SVN,2023,0.17690572142601
ESP,2023,0.1710035353899
SWE,2023,0.21035628020763
CHE,2023,0.20752677321434
TWN,2023,0.18282178044319
GBR,2023,0.21317765116692
USA,2023,0.21767249703407
ALB,2023,0.14539788663387
DZA,2023,0.07405311614275
AGO,2023,0.048788543790579
ARG,2023,0.13846957683563
ARM,2023,0.13453422486782
AZE,2023,0.11288482695818
BHS,2023,0.14890202879906
BHR,2023,0.10454124957323
BRB,2023,0.15503577888012
BLR,2023,0.075268611311913
BLZ,2023,0.10792415589094
BOL,2023,0.075599029660225
BIH,2023,0.088110089302063
BWA,2023,0.1114763841033
BRA,2023,0.13874277472496
BRN,2023,0.12193084508181
BGR,2023,0.14475432038307
CPV,2023,0.11971309781075
CHL,2023,0.16947716474533
CHN,2023,0.14834882318974
COL,2023,0.13780850172043
CRI,2023,0.15015843510628
DOM,2023,0.12467357516289
ECU,2023,0.12859085202217
EGY,2023,0.083970248699188
SLV,2023,0.094834513962269
SWZ,2023,0.058597270399332
FJI,2023,0.11531253159046
GAB,2023,0.071147210896015
GEO,2023,0.14447443187237
GTM,2023,0.092537060379982
GUY,2023,0.10674235969782
HUN,2023,0.13740436732769
IND,2023,0.15181773900986
IDN,2023,0.16077074408531
IRN,2023,0.064419649541378
IRQ,2023,0.06153579801321
JAM,2023,0.11937951296568
JOR,2023,0.12636148929596
KAZ,2023,0.13372325897217
KWT,2023,0.11714094132185
LBN,2023,0.080941185355186
LBY,2023,0.027793180197477
MYS,2023,0.17363409698009
MDV,2023,0.11483982950449
MUS,2023,0.14454154670238
MEX,2023,0.13724508881569
MNG,2023,0.12010857462883
MNE,2023,0.12672398984432
MAR,2023,0.099165663123131
NAM,2023,0.11820390820503
OMN,2023,0.13317178189754
PAK,2023,0.1050520837307
PAN,2023,0.1359149068594
PRY,2023,0.10795207321644
PER,2023,0.13187259435654
PHL,2023,0.12403523921967
POL,2023,0.14618942141533
QAT,2023,0.13436177372932
MKD,2023,0.12856166064739
ROU,2023,0.15060719847679
RUS,2023,0.11594174802303
LCA,2023,0.13893456757069
VCT,2023,0.14442577958107
SAU,2023,0.13955771923065
SRB,2023,0.14336368441582
SYC,2023,0.14484688639641
ZAF,2023,0.14266707003117
LKA,2023,0.10772097855806
SUR,2023,0.10135295242071
SYR,2023,0.020430790260434
THA,2023,0.13387206196785
TTO,2023,0.10743100196123
TUN,2023,0.12202405929565
TUR,2023,0.13389377295971
UKR,2023,0.12307190895081
ARE,2023,0.17097102105618
URY,2023,0.16826623678207
VEN,2023,0.022085124626756
AFG,2023,0.040271706879139
BGD,2023,0.10032479465008
BEN,2023,0.098012492060661
BTN,2023,0.14553424715996
BFA,2023,0.095249272882938
BDI,2023,0.070419035851955
KHM,2023,0.080631993710995
CMR,2023,0.07790245115757
CAF,2023,0.043551277369261
TCD,2023,0.052882857620716
COM,2023,0.040464915335178
COG,2023,0.052801690995693
COD,2023,0.0625
CIV,2023,0.099610410630703
DJI,2023,0.054521381855011
ETH,2023,0.071160688996315
GMB,2023,0.092967227101326
GHA,2023,0.13384254276752
GIN,2023,0.072921007871628
GNB,2023,0.063670329749584
HTI,2023,0.039083652198315
HND,2023,0.079105637967587
KEN,2023,0.1295640617609
KGZ,2023,0.096117943525314
LAO,2023,0.076970495283604
LSO,2023,0.10498628020287
LBR,2023,0.080249987542629
MDG,2023,0.087534353137016
MWI,2023,0.095529802143574
MLI,2023,0.076844148337841
MRT,2023,0.050356760621071
MDA,2023,0.1260299384594
MOZ,2023,0.067550674080849
MMR,2023,0.051759276539087
NPL,2023,0.085702165961266
NIC,2023,0.062393456697464
NER,2023,0.089016862213612
NGA,2023,0.071787804365158
PNG,2023,0.086475059390068
RWA,2023,0.13993240892887
STP,2023,0.085905365645885
SEN,2023,0.12431353330612
SLE,2023,0.080426640808582
SOM,2023,0.033615246415138
SSD,2023,0.0074358223937452
SDN,2023,0.030148828402162
TJK,2023,0.074251361191273
TZA,2023,0.093561768531799
TLS,2023,0.11932499706745
TGO,2023,0.090915694832802
UGA,2023,0.09008777141571
UZB,2023,0.10466928035021
VNM,2023,0.10948853194714
YEM,2023,0.019384345039725
ZMB,2023,0.092012278735638
ZWE,2023,0.055053282529116
ADVEC,2023,0.18819080446011
EME,2023,0.11857121749015
LIC,2023,0.079586175760986
APQ,2023,0.14
EUQ,2023,0.17
NMQ,2023,0.21
WE,2023,0.12
MECA,2023,0.09
SSQ,2023,0.09
EURO,2023,0.18
MAE,2023,0.2
EU,2023,0.18
AS5,2023,0.16
