iso3,country,GAI_GRADIENT_1,GAI_GRADIENT_2,GAI_GRADIENT_3,GAI_GRADIENT_4,GAI_GRADIENT_5,GAI_GRADIENT_TOTAL,GAI_GRADIENT_X,exposure_year,AI_PI,DI,HCLMP,IEI,RE,gdp_pc_current_usd,gdp_year
AGO,Angola,1993.075,325.344,204.419,24.481,1238.325,13984.984,10199.341,2025,0.25965924188495,0.057157389819622,0.068584576249123,0.085128732025623,0.048788543790579,3129.47662331063,2025
BWA,Botswana,64.993,30.982,31.752,12.108,94.765,861.973,627.373,2024,0.41284810006618,0.081379868090153,0.10599353164434,0.11399831622839,0.1114763841033,7778.1151090571,2025
BDI,Burundi,85.517,98.147,14.062,7.321,73.109,4953.66,4675.504,2020,0.29458386823535,0.044495660811663,0.10841347277164,0.071255698800087,0.070419035851955,233.823013385395,2025
CPV,Cabo Verde,11.921,5.242,4.051,1.501,13.071,142.989,107.203,2009,0.43258749693632,0.084030240774155,0.11639027297497,0.11245388537645,0.11971309781075,5796.47207860911,2025
SWZ,Eswatini,21.477,14.52,5.364,6.038,22.76,224.339,154.181,2023,0.30621055886149,0.06444937735796,0.09002748131752,0.093136429786682,0.058597270399332,4108.25221093363,2025
ETH,Ethiopia,1375.213,1098.089,307.384,105.686,1803.188,37044.437,32354.877,2021,0.25359724834561,0.051120802760124,0.06193008646369,0.069385670125484,0.071160688996315,932.729352775179,2025
GMB,"Gambia, The",90.549,53.102,11.276,4.086,82.553,683.567,442.001,2025,0.35997624322772,0.049990605562925,0.11953814327717,0.097480267286301,0.092967227101326,919.060423427951,2025
GHA,Ghana,1421.634,1117.56,188.362,58.734,1148.065,13939.132,10004.777,2025,0.42519968003035,0.088655404746532,0.11373325437307,0.088968478143215,0.13384254276752,3257.1588903576,2025
GNB,Guinea-Bissau,48.13,34.343,4.873,5.809,33.316,711.522,585.05,2022,0.26489874348044,0.040040176361799,0.041767321527004,0.11942091584206,0.063670329749584,1123.76679992349,2025
LSO,Lesotho,41.17,20.291,8.443,2.665,53.529,803.319,677.221,2024,0.35535870492458,0.072165466845036,0.096543744206429,0.081663213670254,0.10498628020287,1088.96276223185,2025
MWI,Malawi,201.347,370.156,33.535,18.451,954.944,4999.447,3421.016,2024,0.34004744514823,0.04731697961688,0.097354143857956,0.099846519529819,0.095529802143574,671.506847203876,2025
MLI,Mali,397.818,272.215,32.597,37.76,208.577,6748.249,5799.283,2022,0.29614645242691,0.05957418680191,0.079833596944809,0.07989452034235,0.076844148337841,1193.27601004701,2025
NGA,Nigeria,15001.283,1739.748,790.219,286.65,5784.413,93100.664,69498.35,2024,0.33628468960524,0.079609505832195,0.093732133507729,0.091155245900154,0.071787804365158,1224.25410237743,2025
RWA,Rwanda,191.128,128.081,42.361,15.875,172.888,3940.085,3389.752,2021,0.43740021437407,0.083531677722931,0.10129887610674,0.11263725161552,0.13993240892887,1123.73874633225,2025
SEN,Senegal,93.381,23.981,24.677,17.605,110.864,4667.673,4397.166,2024,0.39596802741289,0.080233298242092,0.10097125172615,0.090449944138527,0.12431353330612,1954.71174194867,2025
SYC,Seychelles,4.13,2.77,3.807,1.406,9.078,48.537,27.347,2020,0.53065264970064,0.11425753682852,0.13294424116611,0.1386039853096,0.14484688639641,19449.3836346926,2025
SLE,Sierra Leone,404.472,8.392,9.788,4.733,43.553,1633.917,1162.98,2014,0.29781290516257,0.045900296419859,0.080714195966721,0.090771771967411,0.080426640808582,846.296172499617,2025
SDN,Sudan,734.919,624.673,78.038,41.47,553.716,9058.062,7025.245,2022,0.23290671221912,0.052748907357454,0.070277847349644,0.079731129109859,0.030148828402162,1164.53991699219,2025
TZA,Tanzania,170.96,140.23,67.274,53.218,494.699,23645.086,22718.705,2020,0.3524204865098,0.063975043594837,0.093435727059841,0.10144794732332,0.093561768531799,1318.81921386719,2025
UGA,Uganda,826.251,872.879,97.522,34.38,1209.334,17969.577,14929.211,2021,0.35393466055393,0.062899269163609,0.093090675771236,0.10785694420338,0.09008777141571,1206.30450825002,2025
ZMB,Zambia,463.833,198.724,78.04,29.824,419.985,7156.247,5965.842,2024,0.37071997672319,0.065099440515041,0.11082933843136,0.10277891904116,0.092012278735638,1317.87771619597,2025
