rank,iso3,country,exposure_year,total_exposure_share,female_exposure_share,male_exposure_share,gender_gap,AI_PI,z_exposure,z_aipi,adjustment_gap,quadrant
1,AGO,Angola,2025,0.2706934094454452,0.3120917121357104,0.2273835654479539,0.0847081466877565,0.25965924188495,0.5984857630303876,-1.2003089956648332,1.7987947586952209,High exposure / Low capacity (highest concern)
2,SDN,Sudan,2022,0.2244207425385254,0.17648243951367448,0.23484667745255394,-0.05836423793887946,0.23290671221912,0.15679319223681065,-1.5711344671086147,1.7279276593454254,High exposure / Low capacity (highest concern)
3,SWZ,Eswatini,2023,0.31273207066091935,0.3020863387189845,0.3231477236661142,-0.021061384947129724,0.30621055886149,0.999762922661882,-0.5550461259556189,1.5548090486175008,High exposure / Low capacity (highest concern)
4,GMB,"Gambia, The",2025,0.3533903772417335,0.38308974499155646,0.3257931322550328,0.057296612736523644,0.35997624322772,1.3878640017269324,0.19021742488048873,1.1976465768464437,High exposure / High capacity (well-matched)
5,MWI,Malawi,2024,0.3157211187557344,0.34130356505893145,0.2926310221276741,0.048672542931257334,0.34004744514823,1.028294676404977,-0.0860220947255359,1.1143167711305129,High exposure / Low capacity (highest concern)
6,GNB,Guinea-Bissau,2022,0.17774854466903356,0.1806220839813374,0.17491121151917022,0.005710872462167171,0.26489874348044,-0.28871307397927265,-1.1276825684242096,0.8389694944449368,Low exposure / Low capacity
7,NGA,Nigeria,2024,0.2535139169361885,0.3156446014546088,0.19044044512046454,0.12520415633414428,0.33628468960524,0.43450009463123535,-0.13817886702281748,0.5726789616540529,High exposure / Low capacity (highest concern)
8,ETH,Ethiopia,2021,0.12659282687978224,0.13449509842159046,0.12082682063193917,0.013668277789651295,0.25359724834561,-0.7770164723240561,-1.284336249916835,0.5073197775927788,Low exposure / Low capacity
9,MLI,Mali,2022,0.14062403447175698,0.15612725452102938,0.1314854328387598,0.024641821682269582,0.29614645242691,-0.643082541844011,-0.6945479622260894,0.05146542038207835,Low exposure / Low capacity
10,BWA,Botswana,2024,0.2721662975522434,0.3187814657092628,0.228376326062256,0.0904051396470068,0.41284810006618,0.6125451155136072,0.9230913430906367,-0.31054622757702943,High exposure / High capacity (well-matched)
11,SYC,Seychelles,2020,0.43657415991923687,0.5377358490566038,0.3308473433615641,0.2068885056950397,0.53065264970064,2.1818890985096333,2.55601832988763,-0.3741292313779967,High exposure / High capacity (well-matched)
12,GHA,Ghana,2025,0.2822525104145652,0.35075460743180076,0.19684896464208101,0.15390564278971974,0.42519968003035,0.7088223691608125,1.0943005902348097,-0.3854782210739972,High exposure / High capacity (well-matched)
13,UGA,Uganda,2021,0.16919519029301588,0.1616896075684906,0.17627084744425048,-0.014581239875759877,0.35393466055393,-0.37035853199558527,0.10647309224131084,-0.4768316242368961,Low exposure / High capacity (well-matched)
14,LSO,Lesotho,2024,0.1569712654624128,0.1836851160968297,0.13611223795368343,0.04757287814314626,0.35535870492458,-0.4870411687339726,0.12621223211702973,-0.6132534008510023,Low exposure / High capacity (well-matched)
15,BDI,Burundi,2020,0.05615161315068051,0.03818465898239498,0.07855249222702754,-0.040367833244632556,0.29458386823535,-1.4494082504857324,-0.7162074473941762,-0.7332008030915562,Low exposure / Low capacity
16,ZMB,Zambia,2024,0.1663448732275452,0.18987883151393825,0.14668681774676529,0.043192013767172965,0.37071997672319,-0.39756603820561265,0.33913979178520415,-0.7367058299908168,Low exposure / High capacity (well-matched)
17,TZA,Tanzania,2020,0.0391785845058884,0.020041998766282987,0.057625532341149754,-0.03758353357486677,0.3524204865098,-1.6114231322160555,0.08548463579340997,-1.6969077680094655,Low exposure / High capacity (well-matched)
18,RWA,Rwanda,2021,0.13967541309387999,0.140281848758387,0.1391378878813011,0.0011439608770859033,0.43740021437407,-0.6521375421954513,1.2634161451520214,-1.9155536873474728,Low exposure / High capacity (well-matched)
19,SEN,Senegal,2024,0.05795328850157233,0.04538058606593931,0.06467169917504034,-0.019291113109101032,0.39596802741289,-1.4322104818965218,0.6891111932561839,-2.1213216751527058,Low exposure / High capacity (well-matched)
